"","accommod","account","action","activ","addit","adjust","agenc","anticip","appropri","assess","balanc","ben","bernank","board","brainard","busi","chair","chairman","charl","close","committe","condit","consist","continu","current","daniel","debt","decid","declin","determin","develop","dudley","econom","economi","employ","energi","expand","expect","feder","financi","fix","fomc","foster","fund","futur","gain","goal","governor","gradual","growth","help","hold","hous","household","howev","improv","includ","incom","increas","indic","inflat","inform","intern","invest","issu","janet","jerom","job","john","judg","keep","labor","lael","level","like","longer","longerterm","low","maintain","mandat","market","maximum","measur","medium","met","moder","monetari","monitor","month","mortgageback","note","object","open","outlook","pace","percent","polici","powel","pressur","price","promot","randal","rang","rate","read","receiv","recent","reflect","relat","remain","reserv","risk","run","sector","secur","seek","sinc","size","spend","stabil","stanc","statutori","support","sustain","system","take","target","term","time","today","treasuri","unemploy","vice","vote","warrant","wide","will","william","year","yellen","policy"
"22","2","2","2","3","0","2","3","1","0","2","1","0","0","0","1","1","1","1","1","0","13","5","0","4","2","1","1","1","3","1","3","1","8","0","2","2","2","8","8","2","1","1","1","6","2","1","1","1","2","0","1","2","1","1","2","4","2","1","3","3","11","3","2","1","0","1","1","1","1","1","1","8","1","3","1","1","2","1","2","1","8","2","3","2","1","2","3","2","1","2","0","3","1","3","2","7","6","1","1","4","0","0","4","7","1","1","2","1","1","3","1","1","2","1","4","1","2","1","1","1","2","1","1","0","1","3","2","2","3","0","1","1","1","0","1","1","9","1","2","1","raise"
"23","3","1","1","2","0","0","3","3","3","2","2","0","0","1","1","1","1","1","1","1","16","3","3","6","2","1","1","1","5","1","2","1","4","0","6","3","1","4","5","2","1","1","1","3","0","1","1","1","1","3","1","2","1","2","0","2","1","1","0","3","12","2","1","1","0","1","1","1","1","1","2","7","1","5","0","1","2","2","3","2","7","4","3","2","1","2","1","1","1","2","0","3","1","1","2","5","5","1","1","6","0","0","5","4","1","1","1","3","0","7","1","1","2","1","4","1","1","0","1","2","0","1","1","0","1","2","4","3","1","1","1","1","1","1","1","1","6","2","0","1","flat"
"24","0","0","3","2","0","0","2","1","0","0","3","1","1","5","0","2","0","1","1","0","6","4","0","1","0","0","2","1","1","0","0","0","5","1","1","1","1","1","10","2","0","1","0","2","0","0","0","2","0","1","0","0","1","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","1","1","0","0","7","0","1","0","0","1","1","0","0","2","0","0","2","1","0","1","2","0","1","2","1","1","1","4","0","0","0","0","1","1","8","0","0","0","3","0","1","1","1","0","0","0","3","2","1","1","1","1","0","1","1","0","0","0","1","0","5","0","1","0","lower"
"25","1","1","1","3","0","2","0","0","0","2","2","0","0","1","1","1","1","1","1","0","11","6","0","2","0","0","0","1","1","1","3","1","7","1","2","1","2","9","7","1","1","1","1","5","1","1","1","1","2","1","0","0","0","1","1","0","1","1","1","2","12","3","1","1","1","1","1","1","0","0","0","5","1","1","2","1","1","2","1","1","6","2","4","2","1","3","3","2","3","0","1","2","1","2","1","6","4","0","1","3","0","0","3","7","1","1","2","0","2","5","1","1","2","0","0","1","1","1","1","2","2","1","1","1","1","1","2","4","2","0","0","1","1","0","1","1","11","1","2","1","flat"
"26","0","0","1","0","0","2","0","0","0","0","0","1","1","1","0","0","0","2","0","0","2","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","1","3","0","0","1","0","1","1","0","0","1","0","1","0","0","1","0","0","0","0","1","0","1","4","0","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","1","0","0","0","0","3","1","0","0","0","0","0","1","1","1","0","3","0","1","0","0","1","0","1","1","0","1","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","0","0","1","0","0","0","2","1","0","0","flat"
"27","0","0","3","0","0","0","0","0","0","0","0","1","1","4","0","0","0","2","0","0","4","0","0","0","0","0","0","1","0","0","0","0","2","0","0","3","0","1","4","0","0","1","0","1","0","1","0","2","1","3","1","1","1","0","0","0","0","1","3","0","4","1","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","2","0","0","2","0","1","0","3","0","0","0","1","1","1","2","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","1","0","0","1","0","0","0","2","0","1","0","up"
"28","2","1","1","2","0","2","3","1","0","2","2","0","0","1","1","1","1","1","0","1","11","6","0","2","1","1","1","1","3","1","1","1","7","0","2","2","2","9","8","3","1","1","1","6","1","1","1","1","2","0","1","2","0","1","1","0","1","1","2","3","11","3","1","1","1","1","1","1","0","0","1","6","1","3","1","1","2","1","2","1","7","2","3","1","1","3","3","2","1","2","1","2","1","2","2","6","5","1","1","4","0","0","3","7","1","1","2","1","1","3","1","1","1","0","4","1","3","1","1","1","2","1","1","0","1","1","2","1","2","0","1","1","1","0","1","1","8","1","1","1","raise"
"29","0","0","2","0","1","0","0","0","0","0","0","1","1","0","0","0","0","2","0","0","2","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","1","1","4","0","0","1","0","2","0","0","0","1","0","2","0","0","1","0","1","0","0","1","1","0","6","0","0","0","0","1","0","0","0","1","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","2","2","0","0","0","0","0","1","1","0","0","2","0","2","1","0","1","0","2","0","0","0","2","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","2","1","0","0","1","1","0","0","1","1","1","1","flat"
"30","0","0","1","0","0","1","0","2","0","0","0","1","1","1","0","1","0","2","2","0","9","2","4","5","1","1","0","1","0","0","1","1","5","0","4","0","1","2","4","1","0","1","2","2","0","0","0","1","1","2","2","2","2","1","0","1","1","2","0","0","7","2","0","1","0","1","0","0","0","1","0","1","0","5","1","1","2","3","2","4","2","2","2","0","1","0","1","1","0","0","0","1","1","1","2","1","3","0","0","4","1","0","1","5","0","1","0","0","1","3","1","0","1","1","4","1","1","1","2","3","0","1","1","0","1","0","1","0","2","1","1","2","1","1","1","0","5","1","1","1","flat"
"31","0","1","1","1","2","1","2","1","3","2","1","0","0","1","1","0","2","0","0","0","9","1","0","2","0","0","1","1","0","0","0","0","3","0","1","1","0","1","3","1","0","0","0","1","0","1","2","1","0","1","0","1","0","0","0","0","1","1","1","1","7","2","1","0","2","0","1","1","1","0","0","1","1","0","0","1","0","1","0","0","1","1","0","0","0","0","3","1","1","1","1","0","0","1","0","3","3","1","2","2","0","0","3","3","1","0","2","1","2","2","2","1","1","0","2","1","0","1","1","0","2","0","1","0","1","1","2","0","0","0","1","1","1","0","0","1","4","1","0","0","up"
